微信支付账单明细
---
起始时间:[2024-06-01 00:00:00]
截止时间:[2024-06-30 23:59:59]
---
导出时间:[2024-07-01 10:30:00]
---

交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2024-06-30 19:32:11,商户消费,星巴克,拿铁咖啡,-,38.00,零钱,支付成功,IMPSAMPLE001,M20240630001,下班犒劳
2024-06-30 12:15:22,商户消费,海底捞火锅,家庭聚餐,-,268.00,招商银行(5678),支付成功,IMPSAMPLE002,M20240630002,周末聚会
2024-06-29 09:08:00,商户消费,瑞幸咖啡,美式咖啡,-,19.90,零钱,支付成功,IMPSAMPLE003,M20240629003,通勤路上
2024-06-28 20:45:30,商户消费,沃尔玛,日用品采购,-,156.40,零钱,支付成功,IMPSAMPLE004,M20240628004,纸巾洗发水等
2024-06-28 18:00:00,滴滴出行,滴滴快车,网约车,-,42.50,微信零钱通,支付成功,IMPSAMPLE005,,加班回家
2024-06-27 08:35:11,商户消费,麦当劳,早餐套餐,-,22.50,零钱,支付成功,IMPSAMPLE006,M20240627006,
2024-06-26 14:22:00,商户消费,优衣库,夏季T恤,-,199.00,招商银行(5678),支付成功,IMPSAMPLE007,M20240626007,换季采购
2024-06-25 11:30:45,商户消费,盒马鲜生,水果蔬菜,-,87.30,零钱,支付成功,IMPSAMPLE008,M20240625008,
2024-06-24 21:10:00,娱乐休闲,Steam,游戏充值,-,98.00,招商银行(1234),支付成功,IMPSAMPLE009,M20240624009,新游戏
2024-06-23 19:45:00,商户消费,肯德基,家庭晚餐,-,68.00,零钱,支付成功,IMPSAMPLE010,M20240623010,
2024-06-22 09:15:00,生活服务,中国移动,话费充值,-,50.00,招商银行(5678),支付成功,IMPSAMPLE011,,包月话费
2024-06-21 13:40:00,商户消费,美团外卖,午餐外卖,-,32.50,零钱,支付成功,IMPSAMPLE012,M20240621012,工作日午餐
2024-06-20 22:00:00,转账,朋友小张,还款转出,-,500.00,零钱,支付成功,IMPSAMPLE013,,上周聚餐垫付
2024-06-19 10:00:00,退款,优衣库,夏季T恤退款,+ ,199.00,招商银行(5678),已退款,IMPSAMPLE014,M20240626007,尺码不对
2024-06-18 18:30:00,商户消费,中石化加油站,加油,-,320.00,招商银行(1234),支付成功,IMPSAMPLE015,M20240618015,加满一箱
2024-06-17 15:20:00,商户消费,奈雪的茶,水果茶,-,28.00,零钱,支付成功,IMPSAMPLE016,M20240617016,
2024-06-16 11:00:00,微信红包,家庭群,生日快乐红包,+ ,200.00,零钱,已存入零钱,IMPSAMPLE017,,
2024-06-15 12:30:00,商户消费,必胜客,午餐,-,98.00,零钱,支付成功,IMPSAMPLE018,M20240615018,周末
2024-06-14 20:00:00,娱乐休闲,腾讯视频,会员月卡,-,25.00,零钱,支付成功,IMPSAMPLE019,M20240614019,
2024-06-13 17:45:00,商户消费,屈臣氏,日用品,-,76.80,零钱,支付成功,IMPSAMPLE020,M20240613020,
